filename,chip_id,size,cksum,s3path_us,s3path_eu,s3path_as
0003d2eb_agbm.tif,0003d2eb,262482,2036246549,s3://drivendata-competition-biomassters-public-us/train_agbm/0003d2eb_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0003d2eb_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0003d2eb_agbm.tif
000aa810_agbm.tif,000aa810,262482,2858468457,s3://drivendata-competition-biomassters-public-us/train_agbm/000aa810_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/000aa810_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/000aa810_agbm.tif
000d7e33_agbm.tif,000d7e33,262482,277850822,s3://drivendata-competition-biomassters-public-us/train_agbm/000d7e33_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/000d7e33_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/000d7e33_agbm.tif
00184691_agbm.tif,00184691,262482,3502312579,s3://drivendata-competition-biomassters-public-us/train_agbm/00184691_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/00184691_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/00184691_agbm.tif
001b0634_agbm.tif,001b0634,262482,2397957274,s3://drivendata-competition-biomassters-public-us/train_agbm/001b0634_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/001b0634_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/001b0634_agbm.tif
001eb75a_agbm.tif,001eb75a,262482,1424065081,s3://drivendata-competition-biomassters-public-us/train_agbm/001eb75a_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/001eb75a_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/001eb75a_agbm.tif
0029317e_agbm.tif,0029317e,262482,1455195620,s3://drivendata-competition-biomassters-public-us/train_agbm/0029317e_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0029317e_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0029317e_agbm.tif
002fb84c_agbm.tif,002fb84c,262482,3540831576,s3://drivendata-competition-biomassters-public-us/train_agbm/002fb84c_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/002fb84c_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/002fb84c_agbm.tif
00301627_agbm.tif,00301627,262482,3597812907,s3://drivendata-competition-biomassters-public-us/train_agbm/00301627_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/00301627_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/00301627_agbm.tif
003a2b5b_agbm.tif,003a2b5b,262482,1668616674,s3://drivendata-competition-biomassters-public-us/train_agbm/003a2b5b_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/003a2b5b_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/003a2b5b_agbm.tif
003ab939_agbm.tif,003ab939,262482,4215960162,s3://drivendata-competition-biomassters-public-us/train_agbm/003ab939_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/003ab939_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/003ab939_agbm.tif
0040c3a8_agbm.tif,0040c3a8,262482,3273164615,s3://drivendata-competition-biomassters-public-us/train_agbm/0040c3a8_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0040c3a8_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0040c3a8_agbm.tif
004ef4ec_agbm.tif,004ef4ec,262482,2925581907,s3://drivendata-competition-biomassters-public-us/train_agbm/004ef4ec_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/004ef4ec_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/004ef4ec_agbm.tif
0058fedc_agbm.tif,0058fedc,262482,75097023,s3://drivendata-competition-biomassters-public-us/train_agbm/0058fedc_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0058fedc_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0058fedc_agbm.tif
0060c0a5_agbm.tif,0060c0a5,262482,22048290,s3://drivendata-competition-biomassters-public-us/train_agbm/0060c0a5_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0060c0a5_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0060c0a5_agbm.tif
00635116_agbm.tif,00635116,262482,2428705977,s3://drivendata-competition-biomassters-public-us/train_agbm/00635116_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/00635116_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/00635116_agbm.tif
0080ae28_agbm.tif,0080ae28,262482,1448777897,s3://drivendata-competition-biomassters-public-us/train_agbm/0080ae28_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0080ae28_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0080ae28_agbm.tif
0083efdf_agbm.tif,0083efdf,262482,3470839480,s3://drivendata-competition-biomassters-public-us/train_agbm/0083efdf_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/0083efdf_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/0083efdf_agbm.tif
008a52a9_agbm.tif,008a52a9,262482,3212718508,s3://drivendata-competition-biomassters-public-us/train_agbm/008a52a9_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/008a52a9_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/008a52a9_agbm.tif
008be628_agbm.tif,008be628,262482,3663236404,s3://drivendata-competition-biomassters-public-us/train_agbm/008be628_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/008be628_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/008be628_agbm.tif
008d48bf_agbm.tif,008d48bf,262482,1874522915,s3://drivendata-competition-biomassters-public-us/train_agbm/008d48bf_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/008d48bf_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/008d48bf_agbm.tif
009957ba_agbm.tif,009957ba,262482,2262856722,s3://drivendata-competition-biomassters-public-us/train_agbm/009957ba_agbm.tif,s3://drivendata-competition-biomassters-public-eu/train_agbm/009957ba_agbm.tif,s3://drivendata-competition-biomassters-public-as/train_agbm/009957ba_agbm.tif
